uniprot_description,count
Putative breast cancer metastasis-suppressor,1
Putative brca1 associated ring domain,1
Os10g0438800 protein,1
Putative branched-chain-amino-acid aminotransferase 7,1
Putative branched-chain-amino-acid aminotransferase,1
Os10g0438950 protein,1
Putative branched-chain amino acid permease,1
Os10g0439025 protein,1
Putative branched-chain amino acid carrier protein SAOUHSC_01411,1
Putative branched chain amino acid transport protein,1
Os10g0435600 protein,1
Os10g0439333 protein,1
Os10g0439600 protein,1
Os10g0439666 protein,1
Os10g0439682 protein,1
Os10g0439700 protein,1
Os10g0439862 protein,1
Os10g0439986 protein,1
Os10g0440300 protein,1
Os10g0440500 protein,1
Putative box C/D snoRNA protein SPCC613.07,1
Os10g0438301 protein,1
Putative brian-specific homeobox protein,1
Putative broad specificity reductase domain protein,1
Os10g0438300 protein,1
Os10g0435900 protein,1
Os10g0436100 protein,1
Os10g0436700 protein,1
Os10g0436825 protein,1
Os10g0436850 protein,1
Os10g0436900 protein,1
Os10g0436950 protein,1
Os10g0437000 protein,1
Os10g0437200 protein,1
Os10g0437300 protein,1
Os10g0437366 protein,1
Os10g0437500 protein,1
Putative btf,1
Putative btb poz-like protein,1
Os10g0437525 protein,1
Os10g0437550 protein,1
Os10g0437750 protein,1
Os10g0437800 protein,1
Putative btb and poz domain-containing protein,1
Os10g0438000 protein,1
Os10g0438100 protein,1
Os10g0393600 protein,1
Os10g0393350 protein,1
Os10g0392900 protein,1
Os10g0335100 protein,1
Os10g0332000 protein,1
Putative cell agglutination protein pfl9,1
Os10g0332300 protein,1
Os10g0332600 protein,1
Os10g0332733 protein,1
Os10g0333000 protein,1
Os10g0333100 protein,1
Os10g0333401 protein,1
Os10g0334750 protein,1
Os10g0335050 protein,1
Os10g0336300 protein,1
Os10g0331733 protein,1
Putative cell agglutination protein pfl8,1
Os10g0336450 protein,1
Os10g0336600 protein,1
Os10g0336800 protein,1
Os10g0337100 protein,1
Os10g0337400 protein,1
Os10g0337600 protein,1
Os10g0337700 protein,1
Putative cell agglutination protein pfl6,1
Os10g0338150 protein,1
Os10g0331866 protein,1
Os10g0331600 protein,1
Os10g0327050 protein,1
Os10g0328001 protein,1
Os10g0327201 protein,1
Os10g0327325 protein,1
Os10g0327351 protein,1
Os10g0327400 protein,1
Putative cell cycle inhibitor Nif1,1
Putative cell cycle control protein cwf22,1
Os10g0327500 protein,1
Os10g0327600 protein,1
Os10g0327700 protein,1
Os10g0327901 protein,1
Os10g0328100 protein,1
Os10g0331500 protein,1
Os10g0328600 protein,1
Os10g0328900 protein,1
Os10g0329400 protein,1
Os10g0329401 protein,1
Os10g0329900 protein,1
Os10g0330400 protein,1
Os10g0330675 protein,1
Os10g0330750 protein,1
Os10g0330825 protein,1
Os10g0330900 protein,1
Os10g0338300 protein,1
Os10g0338401 protein,1
Os10g0338500 protein,1
Os10g0345701 protein,1
Putative cation:proton antiport protein,1
Os10g0343900 protein,1
Os10g0343951 protein,1
Os10g0344000 protein,1
Os10g0344550 protein,1
Os10g0344600 protein,1
Os10g0344800 protein,1
Putative cation/proton antiporter YbaL,1
Putative cation-transporting atpase worm,1
Os10g0345650 protein,1
Os10g0346200 protein,1
Putative cell agglutination protein pfl5,1
Os10g0346450 protein,1
Os10g0346600 protein,1
Os10g0346733 protein,1
Os10g0346866 protein,1
Os10g0347400 protein,1
Os10g0348201 protein,1
Os10g0348400 protein,1
Putative cation-transporting P-type ATPase C domain protein,1
Os10g0348900 protein,1
Os10g0349350 protein,1
Putative cationic amino acid transport protein,1
Os10g0343700 protein,1
Os10g0343500 protein,1
Os10g0343000 protein,1
Os10g0338750 protein,1
Os10g0338858 protein,1
Os10g0338966 protein,1
Os10g0339074 protein,1
Putative cell agglutination protein pfl4,1
Putative cell agglutination protein pfl3,1
Putative cell agglutination protein SPAPB2C8.01,1
Os10g0339182 protein,1
Os10g0339400 protein,1
Putative cell agglutination protein SPAC1348.08c,1
Os10g0340100 protein,1
Os10g0340301 protein,1
Os10g0340450 protein,1
Os10g0340800 protein,1
Putative cdk5 regulatory subunit associated prote in 1-like 1,1
Putative ccaat-box DNA binding protein subunit B,1
Os10g0341101 protein,1
Os10g0341401 protein,1
Os10g0341750 protein,1
Os10g0341800 protein,1
Os10g0342650 protein,1
Os10g0327200 protein,1
Os10g0327000 protein,1
Os10g0392800 protein,1
Os10g0207700 protein,1
Putative cellular morphogenesis protein (Bud22),1
Os10g0204300 protein,1
Os10g0205802 protein,1
Os10g0206400 protein,1
Putative cellobiose dehydrogenase,1
Putative cell-type specific agglutination protein pfl7,1
Os10g0207101 protein,1
Os10g0207300 protein,1
Os10g0207400 protein,1
Os10g0207600 protein,1
Os10g0208200 protein,1
Os10g0204200 protein,1
Os10g0208300 protein,1
Os10g0208750 protein,1
Putative cell wall protein,1
Os10g0208900 protein,1
Os10g0209100 protein,1
Os10g0209300 protein,1
Os10g0209433 protein,1
Os10g0209566 protein,1
Putative cell wall glucanase,1
Os10g0211800 protein,1
Os10g0204201 protein,1
Putative cellular myosin heavy chain,1
Os10g0326900 protein,1
Os10g0202050 protein,1
Os10g0198333 protein,1
Os10g0198366 protein,1
Putative cellulose synthase-like protein H3,1
Putative cellulose synthase-like protein D6,1
Os10g0198483 protein,1
Os10g0199202 protein,1
Os10g0200000 protein,1
Os10g0200800 protein,1
Os10g0201600 protein,1
Os10g0201901 protein,1
Putative cellulose synthase A catalytic subunit 11 [UDP-forming],1
Os10g0204100 protein,1
Putative cellulose synthase,1
Os10g0202200 protein,1
Os10g0202350 protein,1
Putative cellulose biosynthesis protein BcsQ,1
Os10g0202501 protein,1
Os10g0202900 protein,1
Putative cellular nucleic acid binding protein,1
Os10g0203100 protein,1
Os10g0203600 protein,1
Os10g0204000 protein,1
Putative cell surface metalloreductase (FreA),1
Os10g0211900 protein,1
Putative cell surface mannoprotein,1
Putative cell division control protein 45,1
Os10g0319301 protein,1
Os10g0319801 protein,1
Os10g0320001 protein,1
Os10g0320201 protein,1
"Putative cell division inhibitor, NAD(P)-binding protein",1
Os10g0321700 protein,1
Putative cell division cycle ATPase,1
Os10g0321866 protein,1
Putative cell division cycle 20 (Cdc20) (Fizzy),1
Os10g0322032 protein,1
Os10g0322166 protein,1
Putative cell polarity protein (Alp11),1
Os10g0322600 protein,1
Os10g0323400 protein,1
Os10g0324100 protein,1
Os10g0324301 protein,1
Os10g0325400 protein,1
Os10g0325750 protein,1
Os10g0326100 protein,1
Os10g0326200 protein,1
Os10g0326800 protein,1
Putative cell cycle-associated protein,1
Os10g0319166 protein,1
Putative cell division protein FtsP,1
Os10g0319033 protein,1
Os10g0318900 protein,1
Putative cell polarity protein,1
Putative cell invasion protein,1
Os10g0213100 protein,1
Os10g0213800 protein,1
Os10g0214132 protein,1
Putative cell envelope integrity inner membrane protein TolA,1
Putative cell division protein kinase 9-B,1
Putative cell division protein ftsY,1
Os10g0214400 protein,1
Os10g0214501 protein,1
Putative cell division protein FtsX,1
Os10g0233310 protein,1
Os10g0254720 protein,1
Os10g0264950 protein,1
Os10g0315400 protein,1
Os10g0315900 protein,1
Os10g0317100 protein,1
Os10g0317300 protein,1
Os10g0317950 protein,1
Os10g0318000 protein,1
Os10g0318700 protein,1
Os10g0349600 protein,1
Os10g0349800 protein,1
Os10g0350001 protein,1
Os10g0376450 protein,1
Os10g0374450 protein,1
Os10g0374700 protein,1
Putative carboxymethylenebutenolidase (Dienelactone hydrolase) (DLH),1
Os10g0375000 protein,1
Os10g0375200 protein,1
Os10g0375400 protein,1
Os10g0375700 protein,1
Os10g0375950 protein,1
Putative carboxylyase-related protein,1
Os10g0376400 protein,1
Os10g0376501 protein,1
Os10g0374200 protein,1
Os10g0376600 protein,1
Os10g0377150 protein,1
Putative carboxylesterase bioH (Biotin synthesis protein bioH),1
Os10g0377400 protein,1
Os10g0377450 protein,1
Os10g0377500 protein,1
Os10g0378000 protein,1
Os10g0378400 protein,1
Os10g0378450 protein,1
Os10g0378800 protein,1
Os10g0374300 protein,1
Os10g0373800 protein,1
Os10g0350200 protein,1
Os10g0371800 protein,1
Os10g0370750 protein,1
Os10g0370900 protein,1
Os10g0371000 protein,1
Os10g0371100 protein,1
Os10g0371200 protein,1
Putative carcinoma associated protein hoj-1,1
Putative carboxysome structural protein in ethanol utilization,1
Os10g0371450 protein,1
Putative carboxysome structural protein for ethanolamine utilization,1
Os10g0371700 protein,1
Putative carboxyphosphonoenolpyruvate mutase,1
Os10g0373400 protein,1
Os10g0372100 protein,1
Os10g0372300 protein,1
Os10g0372366 protein,1
Os10g0372500 protein,1
Os10g0372700 protein,1
Os10g0372800 protein,1
Os10g0373250 protein,1
Putative carboxypeptidase suro-1,1
Putative carboxypeptidase regulatory region-containing,1
Os10g0373300 protein,1
Os10g0378900 protein,1
Os10g0379233 protein,1
Os10g0379366 protein,1
Os10g0390701 protein,1
Os10g0389100 protein,1
Os10g0389300 protein,1
Os10g0389402 protein,1
Os10g0389900 protein,1
Os10g0390000 protein,1
Os10g0390100 protein,1
Os10g0390300 protein,1
Putative carbonic anhydrase 5,1
Os10g0390500 protein,1
Os10g0390600 protein,1
Os10g0390750 protein,1
Os10g0379610 protein,1
Os10g0390800 protein,1
Os10g0390900 protein,1
Putative carbonic anhydrase 3,1
Os10g0391100 protein,1
Os10g0391500 protein,1
Putative carbon-nitrogen hydrolase family protein,1
Os10g0392101 protein,1
Os10g0392500 protein,1
Os10g0392650 protein,1
Os10g0392700 protein,1
Os10g0388700 protein,1
Os10g0388600 protein,1
Putative carbonic anhydrase II (Carbonate dehydratase II),1
Putative carbonic anhydrase-like protein 1,1
Os10g0379854 protein,1
Os10g0380300 protein,1
Os10g0380800 protein,1
Os10g0381200 protein,1
Os10g0381601 protein,1
Os10g0381700 protein,1
Os10g0381800 protein,1
Os10g0382400 protein,1
Os10g0382600 protein,1
Os10g0384600 protein,1
Os10g0385451 protein,1
Os10g0386900 protein,1
Os10g0387100 protein,1
Os10g0387150 protein,1
Os10g0387201 protein,1
Os10g0387400 protein,1
Putative carboxylesterase,1
Os10g0387750 protein,1
Putative carbonic anhydrase-like protein 2,1
Os10g0388100 protein,1
Os10g0388550 protein,1
Os10g0370700 protein,1
Putative cardiolipin synthase (CMP-forming),1
Os10g0370600 protein,1
Putative cation transport ATPase,1
Os10g0358150 protein,1
Os10g0358700 protein,1
Os10g0358725 protein,1
Os10g0358750 protein,1
Putative cation-efflux transporter component,1
Os10g0358900 protein,1
Putative cation transporting ATPase,1
Os10g0359700 protein,1
Os10g0359801 protein,1
Putative cation transport regulator ChaB,1
Os10g0360000 protein,1
Putative cation efflux protein,1
Os10g0360175 protein,1
Os10g0360750 protein,1
Os10g0360800 protein,1
Os10g0361200 protein,1
Putative cation exchanger YDL206W,1
Putative cation exchanger C521.04c,1
Putative cation exchanger C3A12.06c,1
Putative cation efflux system,1
Putative cation efflux pump,1
Os10g0361300 protein,1
Os10g0357950 protein,1
Os10g0357900 protein,1
Os10g0357850 protein,1
Os10g0357750 protein,1
Os10g0350400 protein,1
Os10g0350450 protein,1
Putative cation-transporting ATPase MJ1226,1
Os10g0350500 protein,1
Os10g0350650 protein,1
Os10g0350800 protein,1
Os10g0351000 protein,1
Os10g0351050 protein,1
Os10g0351100-like protein,1
Putative cation-transporting ATPase 1,1
Os10g0351200 protein,1
Os10g0351300 protein,1
Os10g0351414 protein,1
Putative cation-transporter ATPase I,1
Os10g0351500 protein,1
Os10g0351600 protein,1
Os10g0351700 protein,1
Os10g0352000 protein,1
Os10g0352200 protein,1
Os10g0352500 protein,1
Os10g0357700 protein,1
Os10g0361450 protein,1
Putative cation efflux family protein,1
Os10g0370400 protein,1
Os10g0368100 protein,1
Os10g0365050 protein,1
Os10g0365300 protein,1
Os10g0365466 protein,1
Os10g0365632 protein,1
Os10g0365900 protein,1
Os10g0366567 protein,1
Putative carrier,1
Os10g0366734 protein,1
Os10g0366901 protein,1
Os10g0367401 protein,1
Os10g0368200 protein,1
Os10g0361850 protein,1
Os10g0368300 protein,1
Os10g0368650 protein,1
Os10g0368700 protein,1
Os10g0368902 protein,1
Putative carnitine O-acetyltransferase (Carnitine acetylase) (CAT) (Carnitine acetyltransferase) (CrAT),1
Os10g0369600 protein,1
Putative carnitine O-acetyltransferase,1
Os10g0369750 protein,1
Os10g0369950 protein,1
Os10g0370200 protein,1
Putative carrier C12B10.09,1
Putative carrier protein pet8 protein,1
Os10g0365001 protein,1
Putative carrier/transport protein,1
Os10g0361876 protein,1
Os10g0361900 protein,1
Os10g0362400 protein,1
Putative cation channel family transporter,1
Putative catechol O-methyltransferase 2,1
Putative catalase,1
Putative catabolite repression protein creC,1
Os10g0362600 protein,1
Os10g0362900 protein,1
Putative cat eye syndrome critical region protein 9,1
Putative casein kinase substrate phosphoprotein p p28,1
Os10g0363400 protein,1
Os10g0363500 protein,1
Os10g0363700 protein,1
Os10g0364001 protein,1
Os10g0364400 protein,1
Putative casein kinase II subunit beta-4,1
Os10g0364700 protein,1
Os10g0364900 protein,1
Putative casein kinase I C03C10.2,1
Putative casein kinase I,1
Os10g0459550 protein,1
Os10g0459600 protein,1
Putative alkyl/aryl-sulfatase YjcS,1
Putative amp activated protein kinase gamma () su bunit putative ' amp-activated protein kinase subunit gamm a,1
Putative ancient ubiquitous protein,1
"Putative anaerobic dimethyl sulfoxide reductase, subunit C",1
"Putative anaerobic dimethyl sulfoxide reductase, subunit B",1
"Putative anaerobic dimethyl sulfoxide reductase, subunit A",1
Putative an aldehyde reductase,1
Os10g0523100 protein,1
Os10g0523201 protein,1
Os10g0523300 protein,1
Os10g0523700 protein,1
Putative amp dependent ligase,1
Os10g0524000 protein,1
Putative anion transporter 4 chloroplastic,1
Putative ammonium transporter MJ1343,1
Putative ammonium transporter MJ0058,1
Os10g0524600 protein,1
Os10g0524766 protein,1
Putative ammonium transporter 4 member 1,1
Putative ammonium transporter 3,1
Putative ammonium transporter 2,1
Os10g0524832 protein,1
Putative ammonium transporter 1 member 5,1
Os10g0524850 protein,1
Putative anion exchange protein,1
Putative anion transporter 5,1
Os10g0520502 protein,1
Os10g0521450 protein,1
Os10g0520900 protein,1
Putative ankyrin repeat domain-containing protein 26-like protein,1
Putative ankyrin repeat domain-containing protein 26-like 1,1
Putative ankyrin repeat domain-containing protein 20A5,1
Putative ankyrin repeat domain-containing protein 20A4,1
Os10g0520950 protein,1
Putative ankyrin repeat domain-containing protein 20A3,1
Putative ankyrin repeat domain-containing protein 20A2,1
Putative ankyrin repeat domain-containing protein 20A12 pseudogene,1
Putative ankyrin repeat domain-containing protein 19,1
Os10g0521550 protein,1
Putative anion transporter 6 chloroplastic,1
Os10g0521801 protein,1
Putative ankyrin repeat domain family protein,1
Os10g0522000 protein,1
Os10g0522200 protein,1
Os10g0522700 protein,1
Os10g0522800 protein,1
Os10g0522900 protein,1
Putative ankrd45 protein,1
Os10g0523000 protein,1
Putative anion/proton exchange transporter C19C7.11,1
Os10g0524900 protein,1
Putative ammonium transporter 1,1
Putative ammonium permease,1
Os10g0533701 protein,1
Os10g0532100 protein,1
Putative aminohydrolase SsnA,1
Os10g0532150 protein,1
Os10g0532800 protein,1
Os10g0532901 protein,1
Putative aminodeoxychorismate synthase,1
Putative aminodeoxychorismate lyase,1
Putative aminoadipate-semialdehyde dehydrogenase,1
Os10g0533150 protein,1
Putative aminoacyl-tRNA ligase,1
Putative amino-acid transporter periplasmic solute-binding protein,1
Os10g0525101 protein,1
Putative amino-acid transporter Rv0488,1
Os10g0533800 protein,1
Os10g0534500 protein,1
Os10g0534600 protein,1
Os10g0534801 protein,1
Os10g0535500 protein,1
Os10g0535550 protein,1
Putative amino-acid transporter MJ1196,1
Os10g0535575 protein,1
Os10g0535800 protein,1
Os10g0531300 protein,1
Putative aminopeptidase,1
Putative aminopeptidase C13A11.05,1
Os10g0530800 protein,1
Os10g0525301 protein,1
Os10g0525700 protein,1
"Putative aminotransferase, classes I and II",1
"Putative aminotransferase, class I and II",1
Os10g0526500 protein,1
Os10g0527601 protein,1
Os10g0528150 protein,1
Os10g0528651 protein,1
Putative aminotransferase (Ortho),1
Os10g0529450 protein,1
Os10g0529600 protein,1
Putative aminotransferase (DegT family). Functional classification-Misc,1
Putative aminotransferase (DegT family),1
Os10g0529800 protein,1
Os10g0530300 protein,1
Os10g0530500 protein,1
Putative aminopeptidase-2,1
Putative aminopeptidase W07G4.4,1
Os10g0530750 protein,1
Putative aminopeptidase MJ0555,1
Putative aminopeptidase FrvX,1
Os10g0520600 protein,1
Os10g0520501 protein,1
Putative amino-acid transport protein,1
Putative antiporter subunit mnhC2,1
Putative antiporter subunit mnhG2,1
Putative antiporter subunit mnhF2,1
Putative antiporter subunit mnhE2,1
Os10g0512100 protein,1
Os10g0512450 protein,1
Os10g0512600 protein,1
Os10g0512700 protein,1
Os10g0513400 protein,1
Os10g0513651 protein,1
Putative antiporter subunit mnhD2,1
Putative antiporter subunit mnhB2,1
Putative antitermination protein,1
Putative antiporter subunit mnhA2,1
Os10g0513900 protein,1
Os10g0514300 protein,1
Putative antiporter,1
Os10g0514400 protein,1
Putative antioxidant protein,1
Putative antigenic thaumatin domain protein,1
Putative antigen,1
Putative antibiotic resistance protein,1
Os10g0514425 protein,1
Putative antirepressor protein,1
Os10g0512001 protein,1
Putative ankyrin repeat domain-containing protein 29 protein,1
Os10g0511250 protein,1
Putative antitoxin VapB13,1
Os10g0510500 protein,1
Putative antitoxin VapB12,1
Putative antitoxin VapB10,1
Os10g0510700 protein,1
Putative antitoxin Rv3098B/RVBD_3098B,1
Os10g0511100 protein,1
Putative antitoxin Rv0268c,1
Putative antitoxin RelB4,1
Os10g0511200 protein,1
Putative antitoxin RelB2,1
Putative antitoxin HigA2,1
Putative antitoxin RelB1,1
Putative antitoxin RelB,1
Os10g0511300 protein,1
Os10g0511400 protein,1
Os10g0511600 protein,1
Putative antitoxin MJECL31,1
Os10g0511800 protein,1
Os10g0511900 protein,1
Putative antitoxin MJ0975,1
Putative antitoxin HigA3,1
Os10g0514450 protein,1
Os10g0514500 protein,1
Os10g0514550 protein,1
Os10g0519550 protein,1
Putative ankyrin repeat protein YahD,1
Os10g0518100 protein,1
Os10g0518200 protein,1
Os10g0518400 protein,1
Os10g0518601 protein,1
Os10g0518701 protein,1
Os10g0518800 protein,1
Os10g0519300 protein,1
Os10g0519400 protein,1
Putative ankyrin repeat protein PA3287,1
Putative ankyrin repeat protein L88,1
Putative antibiotic biosynthesis monooxygenase protein,1
Putative ankyrin repeat protein L81,1
Putative ankyrin repeat protein B,1
Os10g0519750 protein,1
Putative ankyrin repeat protein,1
Putative ankyrin repeat domain-containing protein 30B-like,1
Os10g0520100 protein,1
Os10g0520200 protein,1
Os10g0520300 protein,1
Os10g0520350 protein,1
Os10g0520400 protein,1
Os10g0517900 protein,1
Os10g0517050 protein,1
Os10g0516800 protein,1
Os10g0516701 protein,1
Putative antibiotic antiporter,1
Os10g0515100 protein,1
Os10g0515200 protein,1
Os10g0515400 protein,1
Os10g0515650 protein,1
Os10g0515900 protein,1
Os10g0516000 protein,1
Os10g0516200 protein,1
Putative anti-terminator regulatory protein,1
Os10g0516250 protein,1
Os10g0516350 protein,1
Putative anti-anti-sigma factor Rv2638,1
Putative anti-FlhC(2)FlhD(4) factor YdiV,1
Putative anthranilate synthase component II,1
Putative anthranilate synthase component I,1
Putative anthranilate synthase,1
Putative anosmin-1 (Kallmann syndrome protein) (Adhesion molecule-like X-linked),1
Os10g0516500 protein,1
Os10g0516551 protein,1
Os10g0516600 protein,1
Putative annexin A2-like protein,1
Os10g0536000 protein,1
Os10g0536050 protein,1
Os10g0459700 protein,1
Os10g0558725 protein,1
Os10g0558200 protein,1
Putative alpha/beta fold family hydrolase,1
Putative alpha-xylosidase 2,1
Os10g0558301 protein,1
Os10g0558400 protein,1
Putative alpha-taxilin,1
Putative alpha-methylacyl-CoA racemase,1
Os10g0558466 protein,1
Os10g0558532 protein,1
Os10g0558600 protein,1
Os10g0558850 protein,1
Os10g0558150 protein,1
Os10g0558900 protein,1
Os10g0559300 protein,1
Os10g0559400 protein,1
Os10g0559450 protein,1
Os10g0559500 protein,1
Putative alpha-galactosidase/6-phospho-beta-glucosidase,1
Os10g0559550 protein,1
Putative alpha-L-fucosidase 1,1
Os10g0559600 protein,1
Os10g0559650 protein,1
Putative alpha/beta hydrolase fold protein,1
Os10g0558125 protein,1
Putative aluminum-activated malate transporter 3,1
Os10g0557366 protein,1
Os10g0555300 protein,1
Putative aluminum-activated malate transporter 11,1
Os10g0555651 protein,1
Os10g0556000 protein,1
Os10g0556200 protein,1
Os10g0556500 protein,1
Os10g0556600 protein,1
Os10g0556700 protein,1
Os10g0556900 protein,1
Putative altronate hydrolase N-terminus,1
Os10g0557600 protein,1
Os10g0558100 protein,1
Os10g0557650 protein,1
Putative altronate hydrolase C-terminus,1
Putative alternative RNA polymerase sigma factor,1
Os10g0557700 protein,1
Os10g0557750 protein,1
"Putative altered inheritance of mitochondria protein 13, mitochondrial",1
Putative alphaalpha-trehalose-phosphate synthase [UDP-forming] 7,1
Putative alpha7-nAChR chaperone,1
Os10g0557800 protein,1
Putative alpha/beta superfamily hydrolase,1
Os10g0559700 protein,1
Os10g0559833 protein,1
Os10g0559866 protein,1
Putative alpha crystallin A chain; Putative heat shock protein hsp16,1
Os10g0562550 protein,1
Os10g0563000 protein,1
Os10g0563100 protein,1
Putative alpha methylacyl-CoA racemase,1
Putative alpha helix chain,1
Os10g0563200 protein,1
Os10g0563300 protein,1
Os10g0563500 protein,1
Os10g0563550 protein,1
Putative alpha helical protein,1
Putative alpha catenin,1
Os10g0560100 protein,1
Os10g0563800 protein,1
Putative allophanate hydrolase subunit 2,1
Putative allophanate hydrolase subunit 1,1
Putative allantoinase 1,1
Os10g0564150 protein,1
Putative allantoin permease domain protein,1
Os10g0564450 protein,1
Os10g0565000 protein,1
Os10g0565100 protein,1
Os10g0565150 protein,1
"Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 100 kDa subunit",1
Os10g0562500 protein,1
"Putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 106 kDa subunit",1
"Putative alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1
Putative alpha-2-macroglobulin homolog,1
Os10g0560200 protein,1
Putative alpha-1-antitrypsin-related protein,1
Os10g0560450 protein,1
"Putative alpha-1,6-mannosyltransferase MNN11",1
"Putative alpha-1,3-mannosyltransferase MNT4",1
Os10g0560451 protein,1
"Putative alpha-1,3-mannosyltransferase MNN14",1
Os10g0560500 protein,1
Os10g0560700 protein,1
Os10g0560850 protein,1
Os10g0561000 protein,1
Os10g0561100 protein,1
Os10g0561200 protein,1
Os10g0561250 protein,1
"Putative alpha-1,3-mannosyltransferase MNN13",1
"Putative alpha-1,3-mannosyltransferase MNN12",1
"Putative alpha-1,3-mannosyltransferase MNN1",1
"Putative alpha-1,3-mannosyl-glycoprotein beta-1,2-n-acetylglucosaminyltransferase",1
Os10g0561600 protein,1
Os10g0562200 protein,1
Os10g0554800 protein,1
Os10g0554300 protein,1
Os10g0536450 protein,1
Os10g0544966 protein,1
"Putative amino acid/amine transport protein, cryptic",1
Os10g0542550 protein,1
Os10g0542750 protein,1
Os10g0543150 protein,1
Os10g0543500 protein,1
Os10g0543700 protein,1
Os10g0544000 protein,1
Os10g0544500 protein,1
Os10g0544600 protein,1
Os10g0544950 protein,1
Os10g0545100 protein,1
Os10g0542200 protein,1
Os10g0545300 protein,1
Putative amino acid transporter domain protein,1
Os10g0545600 protein,1
Putative amino acid transporter aATP11,1
Os10g0545950 protein,1
Os10g0546100 protein,1
Putative amino acid selective channel family protein,1
Putative amino acid recemase,1
Os10g0546200 protein,1
Os10g0546900 protein,1
Os10g0542266 protein,1
Putative amino-acid ABC transporter ATP-binding protein YecC,1
Os10g0554100 protein,1
Os10g0539200 protein,1
Os10g0536900 protein,1
Os10g0537450 protein,1
Os10g0537500 protein,1
Os10g0537600 protein,1
Os10g0538100 protein,1
Os10g0538450 protein,1
Os10g0538500 protein,1
Os10g0538600 protein,1
Os10g0538800 protein,1
Os10g0538950 protein,1
Os10g0539650 protein,1
Putative amino-acid ABC transporter permease protein YhdX,1
Os10g0539950 protein,1
Os10g0540000 protein,1
Os10g0540050 protein,1
Os10g0540100 protein,1
Os10g0540200 protein,1
Putative amino-acid metabolite efflux pump,1
Os10g0541500 protein,1
Os10g0541700 protein,1
Os10g0542000 protein,1
Putative amino-acid N-acetyltransferase subunit Mak10,1
Os10g0547000 protein,1
Os10g0547400 protein,1
Os10g0547650 protein,1
Os10g0550775 protein,1
Os10g0550300 protein,1
Putative amidase family protein,1
Os10g0550400 protein,1
Putative amidase PB8B6.03,1
Putative amidase C869.01,1
Os10g0550700 protein,1
Putative amidase C550.07,1
Os10g0550725 protein,1
Putative amidase AmiD,1
Os10g0550750 protein,1
Os10g0550800 protein,1
Putative amino acid decarboxylase,1
Os10g0551000 protein,1
Putative amidase AmiB2,1
Os10g0551200 protein,1
Os10g0551401 protein,1
Os10g0551700 protein,1
Putative amidase AmiA2,1
Os10g0551800 protein,1
Os10g0552300 protein,1
Os10g0552400 protein,1
Os10g0553450 protein,1
Os10g0550200 protein,1
Putative amidase-type enzyme,1
Os10g0550100 protein,1
Os10g0550066 protein,1
Putative amino acid amidohydrolase,1
Putative amino acid activating enzyme,1
Putative amino acid ABC transporter permease component,1
Os10g0547900 protein,1
Os10g0548000 protein,1
Putative amino acid ABC tansporter permease protein,1
Putative aminidase,1
Os10g0548200 protein,1
Os10g0548350 protein,1
Os10g0548400 protein,1
Os10g0548500 protein,1
Os10g0548750 protein,1
Os10g0548850 protein,1
Os10g0549000 protein,1
Os10g0549100 protein,1
Os10g0549550 protein,1
Os10g0549650 protein,1
Os10g0549700 protein,1
Os10g0549900 protein,1
Os10g0549950 protein,1
Putative amidohydrolase 2,1
Os10g0510150 protein,1
Os10g0510100 protein,1
Putative antitoxin VapB14,1
Os10g0476900 protein,1
Putative bacterioferritin BfrB,1
Putative bacterial transcriptional regulator,1
"Putative bacterial regulatory proteins, luxR family",1
"Putative bacterial regulatory protein, ArsR family",1
"Putative bacterial regulatory helix-turn-helix protein, araC family",1
Os10g0475700 protein,1
Os10g0475900 protein,1
Os10g0476100 protein,1
Os10g0476200 protein,1
Os10g0476400 protein,1
Putative bZIP transcription factor (AP-1),1
Putative bacteriophage tail protein,1
Os10g0477200 protein,1
Os10g0477301 protein,1
Os10g0477800 protein,1
Os10g0477900 protein,1
Os10g0478350 protein,1
Os10g0478450 protein,1
Os10g0478500 protein,1
Os10g0478750 protein,1
Os10g0478900 protein,1
Putative auxin-responsive protein IAA29,1
Os10g0475400 protein,1
Putative bap28,1
Os10g0473600 protein,1
Os10g0474600 protein,1
"Putative beta-1,4-xylosidase, XynB",1
Os10g0473800 protein,1
Os10g0473875 protein,1
"Putative beta-1,3-glucanase",1
"Putative beta-1,2-n-acetylglucosaminyltransferase II",1
Os10g0473950 protein,1
Os10g0474000 protein,1
Os10g0474250 protein,1
Putative beta lactamase,1
Os10g0474300 protein,1
Os10g0474800 protein,1
Putative basal body component,1
Putative benzoate membrane transport protein,1
Putative benzoate 4-monooxygenase cytochrome P450,1
Putative beclin,1
Putative bcl7a,1
Putative bcl2-associated athanogene,1
Os10g0474900 protein,1
Putative basic-leucine zipper transcription factor Q,1
Os10g0475000 protein,1
Os10g0475100 protein,1
Putative basic amino acid antiporter YfcC,1
Putative auxin-responsive protein IAA28,1
Putative auxin-regulated protein,1
Os10g0479001 protein,1
Os10g0483800 protein,1
Os10g0482200 protein,1
Putative autophagy-related protein 8E,1
Putative autophagy domain family protein,1
Os10g0483200 protein,1
"Putative autocrine motility factor receptor,amfr",1
Putative aut1,1
Os10g0483400 protein,1
